iter	MultiClass
0	1.502206544
1	1.418968954
2	1.350852901
3	1.29893281
4	1.246767927
5	1.195419312
6	1.146602022
7	1.100494204
8	1.063309469
9	1.021584619
10	0.9868386768
11	0.9529100843
12	0.9234230504
13	0.8976019625
14	0.8744502861
15	0.8512331617
16	0.8295001155
17	0.8083140231
18	0.7852597588
19	0.7679598206
20	0.7506590947
21	0.7313385728
22	0.7130547526
23	0.697731054
24	0.6863791638
25	0.6740020423
26	0.6597171123
27	0.6473506943
28	0.6312385121
29	0.6201408265
30	0.606303985
31	0.5919900388
32	0.5777584258
33	0.5632362736
34	0.5522165738
35	0.5396899888
36	0.5296076463
37	0.5214926288
38	0.5130872653
39	0.5046704742
40	0.4949970172
41	0.4859947034
42	0.4780769913
43	0.4685404441
44	0.4626227935
45	0.4566091389
46	0.4487173414
47	0.4391934458
48	0.4314829777
49	0.4255351488
50	0.419278501
51	0.4117891387
52	0.4041384453
53	0.39803886
54	0.3903164564
55	0.3853161854
56	0.3781994383
57	0.3715275353
58	0.364842734
59	0.3589351443
60	0.353734709
61	0.3476127238
62	0.341905443
63	0.3374709024
64	0.331721063
65	0.326301089
66	0.3209405654
67	0.3156110057
68	0.3106537011
69	0.3055667866
70	0.3013718294
71	0.2965412992
72	0.2915783548
73	0.2877251443
74	0.2823273769
75	0.2772746189
76	0.272669349
77	0.2688931811
78	0.2652994057
79	0.2608611563
80	0.2580044923
81	0.2544561838
82	0.2507841526
83	0.2470160718
84	0.243200944
85	0.2402529886
86	0.2362643442
87	0.2331556964
88	0.2301867142
89	0.2267377008
90	0.2232463727
91	0.2202810957
92	0.2175416129
93	0.2149886007
94	0.2124984271
95	0.2094175665
96	0.2067647951
97	0.2043302469
98	0.2017907379
99	0.1985460704
