iter	Passed	Remaining
0	19	1923
1	25	1249
2	43	1416
3	96	2314
4	150	2850
5	206	3240
6	242	3222
7	283	3262
8	326	3303
9	366	3301
10	400	3242
11	443	3253
12	464	3110
13	480	2951
14	494	2800
15	508	2668
16	523	2553
17	537	2447
18	552	2354
19	578	2312
20	592	2227
21	615	2180
22	629	2108
23	644	2039
24	649	1947
25	664	1892
26	679	1837
27	692	1781
28	711	1741
29	728	1698
30	742	1652
31	756	1607
32	770	1565
33	784	1523
34	803	1491
35	821	1460
36	835	1422
37	859	1402
38	875	1368
39	888	1332
40	908	1308
41	922	1273
42	936	1241
43	957	1218
44	966	1181
45	981	1152
46	1002	1130
47	1019	1104
48	1033	1075
49	1040	1040
50	1062	1020
51	1077	994
52	1093	969
53	1107	943
54	1122	918
55	1135	892
56	1160	875
57	1173	849
58	1187	825
59	1208	805
60	1223	781
61	1238	758
62	1262	741
63	1280	720
64	1296	698
65	1313	676
66	1327	653
67	1342	631
68	1358	610
69	1372	588
70	1386	566
71	1409	548
72	1423	526
73	1437	505
74	1458	486
75	1476	466
76	1497	447
77	1514	427
78	1530	406
79	1553	388
80	1568	367
81	1584	347
82	1608	329
83	1631	310
84	1721	303
85	1747	284
86	1770	264
87	1806	246
88	1847	228
89	1879	208
90	1899	187
91	1925	167
92	1940	146
93	1956	124
94	1976	104
95	1991	82
96	2007	62
97	2027	41
98	2043	20
99	2059	0
