iter	MultiClass
0	1.569120514
1	1.531788315
2	1.500456812
3	1.472648476
4	1.446207111
5	1.422598102
6	1.401538056
7	1.379878681
8	1.359804431
9	1.342174131
10	1.32473383
11	1.310752736
12	1.297354464
13	1.286028562
14	1.275300613
15	1.265028149
16	1.25510853
17	1.244338226
18	1.235184471
19	1.227090868
20	1.216830495
21	1.209173299
22	1.201605258
23	1.19474936
24	1.185333256
25	1.177254901
26	1.169718921
27	1.165183157
28	1.157958862
29	1.151267552
30	1.144767709
31	1.138937967
32	1.132923976
33	1.128144825
34	1.12324954
35	1.117593535
36	1.112339392
37	1.107775395
38	1.103517805
39	1.09963721
40	1.095239059
41	1.090201522
42	1.086395829
43	1.082801395
44	1.078570952
45	1.074542601
46	1.070758835
47	1.067404018
48	1.063828238
49	1.060933501
50	1.058057867
51	1.054899579
52	1.05251926
53	1.048511945
54	1.044759229
55	1.041301094
56	1.038516036
57	1.035448482
58	1.033816397
59	1.031148371
60	1.027753978
61	1.025244114
62	1.021835042
63	1.018711442
64	1.014953559
65	1.012442882
66	1.010203344
67	1.008029625
68	1.005961121
69	1.003980737
70	1.002355731
71	0.9994576375
72	0.9975315675
73	0.9955238706
74	0.9929457846
75	0.9903387476
76	0.9891636151
77	0.9863497504
78	0.9844695048
79	0.9816604284
80	0.9788093633
81	0.9769705327
82	0.974818399
83	0.9732959357
84	0.9712301547
85	0.9676240433
86	0.9647221031
87	0.9639505866
88	0.9620196259
89	0.9598058286
90	0.9582453588
91	0.9565729376
92	0.9546963189
93	0.9530417979
94	0.951085131
95	0.9499429467
96	0.9476124482
97	0.9457375052
98	0.944941368
99	0.9431484492
