iter	Passed	Remaining
0	1	144
1	2	120
2	4	130
3	4	114
4	5	110
5	6	103
6	7	96
7	8	93
8	9	94
9	10	92
10	17	145
11	18	137
12	19	130
13	20	123
14	20	116
15	21	110
16	21	104
17	22	100
18	22	96
19	23	93
20	24	90
21	24	88
22	25	86
23	29	93
24	30	90
25	30	87
26	31	85
27	32	83
28	33	81
29	33	78
30	34	75
31	34	73
32	34	70
33	35	68
34	35	65
35	35	63
36	36	61
37	36	59
38	37	58
39	37	56
40	38	54
41	38	53
42	38	51
43	39	50
44	39	48
45	40	47
46	40	45
47	40	44
48	41	43
49	41	41
50	42	40
51	42	39
52	42	37
53	43	36
54	43	35
55	43	34
56	44	33
57	44	32
58	44	31
59	45	30
60	45	29
61	46	28
62	46	27
63	46	26
64	47	25
65	47	24
66	48	23
67	48	22
68	48	21
69	49	21
70	49	20
71	49	19
72	50	18
73	50	17
74	51	17
75	51	16
76	51	15
77	52	14
78	52	14
79	53	13
80	53	12
81	54	12
82	55	11
83	55	10
84	55	9
85	56	9
86	56	8
87	57	7
88	57	7
89	58	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	61	1
98	61	0
99	62	0
