iter	Passed	Remaining
0	3	3296
1	5	2860
2	8	2719
3	10	2650
4	13	2656
5	17	2836
6	19	2787
7	22	2740
8	24	2683
9	26	2651
10	29	2639
11	31	2625
12	35	2680
13	37	2663
14	39	2586
15	41	2526
16	43	2525
17	46	2511
18	48	2499
19	50	2494
20	53	2497
21	55	2485
22	56	2402
23	58	2385
24	61	2403
25	63	2397
26	66	2393
27	68	2391
28	71	2383
29	73	2372
30	75	2365
31	76	2303
32	78	2292
33	80	2286
34	82	2272
35	84	2260
36	86	2249
37	88	2243
38	89	2199
39	91	2196
40	93	2195
41	95	2186
42	97	2179
43	100	2175
44	100	2137
45	102	2128
46	104	2122
47	106	2121
48	109	2118
49	111	2110
50	113	2108
51	115	2102
52	117	2095
53	119	2092
54	121	2094
55	124	2093
56	126	2094
57	128	2091
58	130	2084
59	132	2078
60	134	2076
61	137	2073
62	138	2066
63	141	2065
64	143	2059
65	145	2053
66	147	2051
67	149	2046
68	151	2046
69	153	2041
70	155	2035
71	157	2032
72	159	2029
73	161	2025
74	163	2020
75	165	2018
76	168	2015
77	170	2010
78	172	2005
79	174	2004
80	176	2000
81	178	1996
82	180	1997
83	182	1992
84	184	1987
85	186	1984
86	188	1980
87	190	1977
88	192	1973
89	194	1971
90	196	1967
91	198	1962
92	200	1959
93	203	1956
94	205	1954
95	207	1953
96	209	1949
97	211	1945
98	213	1942
99	215	1942
100	217	1940
101	220	1939
102	222	1936
103	224	1934
104	226	1931
105	229	1931
106	231	1928
107	233	1925
108	235	1922
109	237	1919
110	239	1916
111	241	1914
112	243	1913
113	246	1912
114	248	1909
115	250	1906
116	252	1903
117	254	1902
118	258	1910
119	260	1913
120	263	1914
121	266	1916
122	268	1916
123	270	1914
124	273	1912
125	275	1909
126	277	1906
127	279	1903
128	281	1902
129	283	1898
130	285	1895
131	288	1897
132	290	1895
133	292	1892
134	294	1889
135	296	1885
136	298	1881
137	300	1879
138	302	1876
139	304	1873
140	307	1870
141	309	1868
142	311	1865
143	313	1862
144	315	1860
145	317	1857
146	319	1852
147	321	1852
148	323	1849
149	325	1846
150	328	1845
151	330	1843
152	332	1842
153	335	1841
154	337	1837
155	339	1834
156	341	1832
157	343	1829
158	345	1828
159	347	1826
160	349	1823
161	351	1819
162	354	1819
163	356	1817
164	358	1814
165	360	1812
166	362	1809
167	364	1806
168	366	1804
169	368	1800
170	370	1798
171	372	1795
172	375	1793
173	377	1791
174	379	1789
175	381	1786
176	383	1783
177	385	1780
178	387	1777
179	390	1776
180	392	1774
181	394	1774
182	396	1771
183	398	1767
184	400	1766
185	403	1763
186	405	1761
187	407	1759
188	409	1757
189	411	1755
190	414	1753
191	416	1752
192	418	1750
193	421	1749
194	423	1747
195	425	1745
196	427	1743
197	429	1740
198	431	1737
199	433	1735
200	435	1732
201	437	1729
202	439	1727
203	441	1724
204	443	1721
205	445	1718
206	448	1716
207	450	1714
208	452	1711
209	454	1709
210	456	1707
211	458	1704
212	460	1702
213	462	1700
214	465	1697
215	467	1696
216	469	1694
217	471	1691
218	473	1688
219	475	1687
220	477	1684
221	479	1681
222	481	1678
223	483	1676
224	486	1674
225	488	1671
226	490	1668
227	492	1666
228	494	1664
229	496	1662
230	498	1660
231	500	1657
232	502	1655
233	504	1652
234	506	1650
235	509	1648
236	511	1646
237	513	1644
238	516	1643
239	518	1641
240	520	1639
241	522	1637
242	524	1634
243	526	1631
244	528	1629
245	530	1626
246	532	1624
247	534	1622
248	536	1619
249	538	1616
250	541	1614
251	543	1612
252	545	1610
253	547	1608
254	549	1606
255	551	1603
256	554	1602
257	556	1599
258	558	1596
259	560	1594
260	562	1592
261	564	1590
262	566	1587
263	568	1586
264	571	1584
265	573	1581
266	575	1579
267	577	1577
268	579	1574
269	581	1572
270	583	1570
271	585	1567
272	588	1565
273	590	1563
274	592	1561
275	594	1558
276	596	1556
277	598	1554
278	600	1551
279	602	1550
280	604	1547
281	606	1545
282	609	1542
283	611	1540
284	612	1537
285	615	1535
286	617	1533
287	619	1530
288	621	1528
289	623	1526
290	625	1524
291	628	1522
292	630	1520
293	632	1517
294	634	1515
295	636	1513
296	638	1510
297	640	1508
298	642	1506
299	644	1504
300	646	1502
301	649	1500
302	650	1497
303	652	1493
304	654	1491
305	656	1489
306	658	1487
307	660	1484
308	663	1482
309	665	1480
310	667	1478
311	669	1476
312	671	1474
313	673	1472
314	676	1470
315	678	1467
316	680	1465
317	682	1464
318	684	1461
319	686	1459
320	688	1456
321	690	1454
322	692	1451
323	694	1449
324	697	1447
325	699	1445
326	701	1442
327	703	1440
328	705	1438
329	707	1436
330	709	1434
331	711	1431
332	713	1429
333	715	1427
334	718	1426
335	721	1425
336	723	1423
337	725	1421
338	727	1418
339	729	1416
340	731	1414
341	734	1412
342	736	1410
343	738	1408
344	740	1406
345	743	1404
346	745	1402
347	747	1400
348	749	1397
349	751	1395
350	753	1393
351	755	1391
352	757	1388
353	759	1386
354	762	1384
355	764	1382
356	766	1380
357	768	1378
358	771	1376
359	773	1374
360	775	1372
361	777	1370
362	779	1368
363	781	1366
364	784	1364
365	786	1361
366	788	1360
367	790	1357
368	792	1355
369	795	1353
370	797	1351
371	799	1349
372	801	1346
373	803	1344
374	805	1342
375	807	1340
376	809	1338
377	811	1335
378	813	1333
379	815	1331
380	817	1328
381	820	1326
382	822	1325
383	824	1322
384	826	1320
385	828	1317
386	830	1315
387	832	1313
388	834	1311
389	836	1309
390	839	1306
391	841	1304
392	843	1303
393	846	1301
394	848	1299
395	850	1296
396	852	1294
397	854	1292
398	856	1290
399	858	1288
400	860	1285
401	862	1283
402	864	1281
403	866	1278
404	868	1276
405	870	1274
406	872	1271
407	875	1269
408	877	1267
409	879	1265
410	881	1262
411	883	1260
412	885	1258
413	887	1255
414	889	1253
415	891	1251
416	893	1249
417	895	1247
418	897	1244
419	899	1242
420	901	1240
421	904	1238
422	906	1235
423	908	1233
424	910	1231
425	912	1229
426	914	1226
427	916	1224
428	918	1222
429	920	1220
430	922	1218
431	924	1216
432	927	1213
433	929	1211
434	930	1209
435	932	1206
436	935	1204
437	937	1202
438	939	1200
439	943	1200
440	945	1198
441	948	1196
442	950	1194
443	952	1192
444	954	1190
445	957	1188
446	959	1186
447	961	1184
448	963	1181
449	965	1179
450	967	1177
451	969	1175
452	971	1173
453	974	1171
454	977	1170
455	980	1169
456	983	1168
457	986	1167
458	988	1165
459	990	1163
460	993	1161
461	995	1159
462	998	1157
463	1001	1157
464	1005	1156
465	1009	1156
466	1012	1155
467	1015	1154
468	1017	1152
469	1020	1150
470	1023	1149
471	1025	1146
472	1028	1146
473	1031	1144
474	1033	1142
475	1036	1141
476	1038	1139
477	1041	1137
478	1044	1135
479	1046	1134
480	1050	1133
481	1052	1131
482	1054	1129
483	1057	1127
484	1059	1124
485	1061	1122
486	1063	1120
487	1066	1118
488	1068	1116
489	1071	1115
490	1074	1113
491	1077	1112
492	1079	1109
493	1081	1107
494	1083	1105
495	1085	1103
496	1088	1101
497	1091	1099
498	1093	1097
499	1095	1095
500	1097	1093
501	1100	1091
502	1102	1089
503	1104	1086
504	1106	1084
505	1109	1083
506	1111	1081
507	1113	1078
508	1116	1076
509	1118	1074
510	1120	1072
511	1122	1069
512	1124	1067
513	1126	1065
514	1129	1063
515	1131	1061
516	1133	1059
517	1135	1056
518	1137	1054
519	1139	1052
520	1142	1050
521	1144	1047
522	1146	1045
523	1148	1043
524	1150	1041
525	1152	1038
526	1155	1036
527	1157	1034
528	1159	1032
529	1161	1030
530	1163	1027
531	1165	1025
532	1167	1023
533	1170	1021
534	1172	1018
535	1174	1016
536	1176	1014
537	1179	1012
538	1181	1010
539	1183	1008
540	1185	1005
541	1187	1003
542	1189	1001
543	1191	998
544	1193	996
545	1195	994
546	1197	992
547	1200	989
548	1202	987
549	1204	985
550	1207	983
551	1209	981
552	1211	979
553	1213	977
554	1215	974
555	1218	972
556	1220	970
557	1222	968
558	1225	966
559	1228	965
560	1230	962
561	1232	960
562	1234	958
563	1237	956
564	1239	954
565	1241	952
566	1244	950
567	1246	947
568	1248	946
569	1251	943
570	1253	941
571	1256	939
572	1258	937
573	1260	935
574	1263	933
575	1266	932
576	1269	930
577	1272	928
578	1274	926
579	1277	924
580	1279	922
581	1282	920
582	1284	918
583	1286	916
584	1289	914
585	1292	912
586	1294	910
587	1297	908
588	1299	906
589	1302	905
590	1305	903
591	1307	901
592	1310	899
593	1313	897
594	1316	896
595	1318	894
596	1321	892
597	1324	890
598	1326	888
599	1330	886
600	1333	884
601	1336	883
602	1339	882
603	1342	880
604	1345	878
605	1347	876
606	1350	874
607	1352	871
608	1355	869
609	1357	867
610	1359	865
611	1362	863
612	1364	861
613	1366	858
614	1368	856
615	1370	854
616	1373	852
617	1375	850
618	1377	848
619	1379	845
620	1382	843
621	1384	841
622	1387	839
623	1389	837
624	1391	834
625	1393	832
626	1395	830
627	1397	827
628	1399	825
629	1402	823
630	1404	821
631	1406	818
632	1408	816
633	1410	814
634	1412	812
635	1414	809
636	1417	807
637	1419	805
638	1421	803
639	1424	801
640	1426	798
641	1428	796
642	1430	794
643	1432	791
644	1434	789
645	1437	787
646	1438	785
647	1441	782
648	1443	780
649	1445	778
650	1447	776
651	1450	773
652	1452	771
653	1454	769
654	1456	767
655	1458	764
656	1460	762
657	1463	760
658	1465	758
659	1467	755
660	1469	753
661	1471	751
662	1473	749
663	1476	746
664	1478	744
665	1480	742
666	1482	740
667	1484	737
668	1486	735
669	1489	733
670	1491	731
671	1494	729
672	1496	727
673	1498	724
674	1500	722
675	1503	720
676	1505	718
677	1507	715
678	1509	713
679	1511	711
680	1513	709
681	1516	707
682	1518	704
683	1520	702
684	1522	700
685	1524	697
686	1526	695
687	1529	693
688	1531	691
689	1533	688
690	1535	686
691	1537	684
692	1539	682
693	1541	679
694	1544	677
695	1546	675
696	1548	673
697	1550	670
698	1552	668
699	1554	666
700	1556	664
701	1558	661
702	1561	659
703	1563	657
704	1565	655
705	1567	652
706	1570	650
707	1572	648
708	1574	646
709	1576	643
710	1578	641
711	1580	639
712	1582	637
713	1584	634
714	1587	632
715	1589	630
716	1591	628
717	1593	625
718	1595	623
719	1597	621
720	1599	619
